"Brnd_Name","Gnrc_Name","Tot_Mftr","Mftr_Name","Tot_Spndng_2019","Tot_Dsg_Unts_2019","Tot_Clms_2019","Avg_Spnd_Per_Dsg_Unt_Wghtd_2019","Avg_Spnd_Per_Clm_2019","Outlier_Flag_2019","Tot_Spndng_2020","Tot_Dsg_Unts_2020","Tot_Clms_2020","Avg_Spnd_Per_Dsg_Unt_Wghtd_2020","Avg_Spnd_Per_Clm_2020","Outlier_Flag_2020","Tot_Spndng_2021","Tot_Dsg_Unts_2021","Tot_Clms_2021","Avg_Spnd_Per_Dsg_Unt_Wghtd_2021","Avg_Spnd_Per_Clm_2021","Outlier_Flag_2021","Tot_Spndng_2022","Tot_Dsg_Unts_2022","Tot_Clms_2022","Avg_Spnd_Per_Dsg_Unt_Wghtd_2022","Avg_Spnd_Per_Clm_2022","Outlier_Flag_2022","Tot_Spndng_2023","Tot_Dsg_Unts_2023","Tot_Clms_2023","Avg_Spnd_Per_Dsg_Unt_Wghtd_2023","Avg_Spnd_Per_Clm_2023","Outlier_Flag_2023","Chg_Avg_Spnd_Per_Dsg_Unt_22_23","CAGR_Avg_Spnd_Per_Dsg_Unt_19_23"
"Alprazolam","Alprazolam",1,"Qualitest/Par P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388.53,14525,202,0.1022776588,6.8739108911,1,NA,0
"Alprazolam","Alprazolam",1,"Mylan Instituti",100811.05,10192.38,1651,9.1644999718,61.060599637,1,262389.65,1295,532,195.72283202,493.21362782,1,114475.01,152,97,727.39499545,1180.1547423,1,54642.49,251,76,429.29248795,718.98013158,1,27049.98,360.5,73,219.25055174,370.54767123,1,-0.48927466,1.2116071238
"Alprazolam ER","Alprazolam",1,"Amneal Pharmace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.23,480,11,0.7294217172,33.475454545,1,NA,0
"Alprazolam ER","Alprazolam",1,"Aurobindo Pharm",419544.64,900123,23352,0.4682967831,17.966111682,0,420531.13,919234,23913,0.4615442316,17.585879229,0,519995.65,1058448,27694,0.495411484,18.776473243,0,532074,1137450,29634,0.4716829285,17.95484916,0,519494.65,1226655,31785,0.425571849,16.344019191,0,-0.097758636,-0.023633366
"Alprazolam ER","Alprazolam",1,"Actavis/Teva",130104.38,269181,6975,0.4838252897,18.652957706,0,53012.13,121166,3103,0.4377454912,17.084154044,0,48442.7,102858,2704,0.4715409773,17.915199704,0,72076.65,149233,4165,0.4825019164,17.305318127,0,68741.89,153228,4232,0.4511689352,16.24335775,0,-0.064938563,-0.017318781
"Alprazolam Intensol","Alprazolam",1,"Roxane/West-War",62484.31,20770.5,350,3.008319973,178.5266,0,42333.77,14023.6,248,3.018751961,170.70068548,0,32284.54,11104,225,2.9074693804,143.48684444,0,49555.84,17493.5,285,2.8328144739,173.88014035,0,65341.14,22135,348,2.9519376553,187.76189655,0,0.0420511765,-0.004718828
"Alprazolam ODT","Alprazolam",1,"Actavis/Teva",207464.61,121601,2367,1.6767426668,87.648757921,0,80200.27,46405,1081,1.6773540119,74.190814061,0,12231.49,5996,135,2.0160218325,90.60362963,0,5679.24,3137,63,1.763367305,90.146666667,1,4574.12,2996,75,1.4786654208,60.988266667,1,-0.161453535,-0.030939536
"Alprazolam ODT","Alprazolam",1,"Par Pharm.",96999.49,57044,1333,1.5921375032,72.767809452,0,175822.66,121780,2614,1.4044921013,67.261920428,0,268150.89,180191.2,3957,1.4533272557,67.766209249,0,272723.3,179706.74,4139,1.4832345201,65.891108964,0,276306.35,185789.5,4367,1.4541726742,63.271433478,0,-0.019593561,-0.02240527
"Alprazolam XR","Alprazolam",1,"Greenstone LLC.",177431.22,399438,9986,0.4463059494,17.767997196,0,259219.54,585655,15112,0.4443102656,17.153225251,0,271842.09,574692,15117,0.4778450114,17.982542171,0,219487.88,496236,12980,0.4445393999,16.909697997,0,142586.87,357687,8925,0.4006904018,15.976119888,0,-0.098639172,-0.026593895
"Ambien","Zolpidem Tartrate",1,"Sanofi-Aventis",1239807.6,75475,2467,16.427288967,502.55678962,0,1155227.02,67885,2245,17.009119872,514.57773719,0,1031041.57,57002,1927,18.066338768,535.05011417,0,925074.12,49290,1610,18.774483644,574.58019876,0,791915.56,40036,1357,19.772985065,583.5781577,0,0.0531839618,0.0474338029
"Ambien Cr","Zolpidem Tartrate",1,"Sanofi-Aventis",657986.88,42965,1465,15.318684114,449.13780205,0,632194.78,38572,1291,16.388349436,489.69386522,1,617507.18,35658,1162,17.304795804,531.41753873,0,432662.5,23343,790,18.538095886,547.67405063,0,374688.73,19396,661,19.316527631,566.85133132,0,0.0419909223,0.0596852754
"Amitriptyline HCl","Amitriptyline HCl",1,"Unichem Pharmac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83170.2,332210,6043,0.265659654,13.763064703,0,3771713.59,14937298.1,310017,0.2603713943,12.166150856,0,9641927.9,40460200.592,891538,0.2437010829,10.81493767,0,-0.064025126,-0.042219638
"Amitriptyline HCl","Amitriptyline HCl",1,"Zydus Pharmaceu",9442865.39,28512081.677,688319,0.3489738914,13.718734177,0,14034303.09,46441230.637,1042552,0.3160244725,13.461489777,0,10292377.22,38420753.16,807782,0.2797529256,12.741528308,0,5783082.63,25050390.06,511621,0.240872134,11.303450464,0,4769134.87,22909989.701,456096,0.214148103,10.456427748,0,-0.11094696,-0.11492449
"Amitriptyline HCl","Amitriptyline HCl",1,"Qualitest/Par P",809354.24,2179960.676,51705,0.3886475136,15.65330703,0,364737.44,1122823.055,28197,0.3357097907,12.935327872,0,379822.93,1020976.656,25182,0.3747134383,15.083112144,0,314683.84,691322.001,17693,0.4526639347,17.785781948,0,256798.98,472237.092,12299,0.5364478659,20.879663387,0,0.1850908031,0.0839092114
"Amitriptyline HCl","Amitriptyline HCl",1,"Northstar Rx Ll",4006615.5,10014083.86,248028,0.4187277097,16.153883836,0,3102430.19,8735156.468,207469,0.3696735794,14.953704843,0,2220071.93,7366515.465,168376,0.311672606,13.185204126,0,1584487.16,5735733.975,129960,0.2828102316,12.192114189,0,1883096.5,7536054.774,165383,0.2556790048,11.386276099,0,-0.095934389,-0.116023252
"Amitriptyline HCl","Amitriptyline HCl",1,"Major Pharmaceu",492398.53,9800.502,649,50.026485032,758.70343606,0,841997.38,9185,786,92.02746872,1071.243486,0,907487.81,6627.85,862,144.5061854,1052.7700812,0,1229291.4,8324.65,969,191.29402812,1268.6185759,0,420921.2,16406.2,884,25.47423971,476.15520362,1,-0.866832018,-0.155255621
"Amitriptyline HCl","Amitriptyline HCl",1,"Accord Healthca",17419078.53,49143625.502,1232124,0.370429066,14.137439519,0,12488676.27,41204592.1,996569,0.3160041222,12.531672438,0,12610829.39,45529301.883,1067694,0.2871935882,11.811276817,0,12164517.1,48013601.209,1120301,0.2606938085,10.858257825,0,3385566.86,13049281.02,322968,0.2636480722,10.482669676,0,0.0113323125,-0.081498466
"Amitriptyline HCl","Amitriptyline HCl",1,"Mylan",921248.61,2583161.121,65851,0.3764170319,13.989895522,0,229900.62,791059.616,19674,0.3073627482,11.685504727,0,84892.64,380179.706,9853,0.2334572148,8.6159179945,0,20839.98,56264,1543,0.377433061,13.506143876,0,12000.33,42313.5,1038,0.2919216397,11.561011561,1,-0.226560496,-0.061575677
"Amitriptyline HCl","Amitriptyline HCl",1,"Lifestar Pharma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2133648.33,7612553.429,160355,0.2895002324,13.305779863,0,1303623.88,5032941.915,114419,0.2663764613,11.393421372,0,2721376.36,9885480.401,228766,0.2816483069,11.895895194,0,0.0573318133,-0.013654394
"Amitriptyline HCl","Amitriptyline HCl",1,"Mylan Instituti",468448.24,41466.7,1944,12.994386094,240.97131687,1,444109.61,17307,950,26.914355146,467.4838,1,275529.87,1943.5,181,175.84265943,1522.2644751,1,5759.63,85,34,59.765530207,169.40088235,1,11614.39,1697,49,11.767918965,237.02836735,1,-0.80309856,-0.024480454
"Amitriptyline HCl","Amitriptyline HCl",1,"Ahp",3904.14,774,27,5.0612816682,144.59777778,1,170642.01,2079,275,94.809253802,620.5164,1,222220.92,1530.5,388,183.76052689,572.7343299,1,240733.94,1859,386,129.04014673,623.66305699,1,598530.03,7132.5,803,83.207420205,745.36740971,1,-0.355181916,1.0136101306
"Amitriptyline HCl","Amitriptyline HCl",1,"Sun Pharmaceuti",1715485.14,5481230.247,137708,0.3353819654,12.457410898,0,1813828.41,7131471.45,168088,0.2666462346,10.790945279,0,1254562.67,5095050.5,115528,0.2589112486,10.859381881,0,170844.1,504666.5,11735,0.3507760268,14.558508735,0,386847.99,1231446.101,29418,0.3198057214,13.150043851,0,-0.088290827,-0.011818701
"Amitriptyline HCl","Amitriptyline HCl",1,"Sandoz",1734438.25,4999195.285,123123,0.3656024892,14.087036947,0,541831.02,1434651.935,34343,0.3917389,15.777043939,0,1283358.94,4015680.96,90587,0.3305627216,14.167142526,0,2286272.54,7601244.801,159753,0.3096995652,14.311296439,0,2326075.66,8337315.484,173305,0.2839900591,13.421861227,0,-0.083014343,-0.061199097
"Amitriptyline HCl","Amitriptyline HCl",1,"Rising Pharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21627.77,105063,1877,0.2150081718,11.522519979,0,NA,0
"Amphetamine Sulfate","Amphetamine Sulfate",1,"Lannett Co. Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61900.26,22258,423,2.8079390874,146.33631206,0,102412.26,47889,822,2.193172818,124.58912409,0,82761.01,46143.5,817,1.8661050101,101.29866585,0,-0.149129975,-0.184781178
"Amphetamine Sulfate","Amphetamine Sulfate",1,"Amneal Pharmace",1508781.88,300530,5345,5.033217644,282.27911693,0,929040.11,217181,3832,4.2884705109,242.44261743,0,356958.89,187876,3271,1.9473162107,109.12836747,0,280715.01,177124,2963,1.6246521985,94.740131623,0,234333.35,185321,2981,1.3030496681,78.608973499,0,-0.197951617,-0.286689175
"Amphetamine Sulfate","Amphetamine Sulfate",1,"Granules Pharma",6235.23,1185,24,5.2631524155,259.80125,1,583311.64,135679,2275,4.2856867449,256.40072088,0,324675.9,122453,2066,2.6955223842,157.15193611,0,252909.98,99990,1710,2.5457282671,147.9005731,0,168540.36,95850,1623,1.7721151179,103.84495379,0,-0.303886773,-0.238251696
"Amphetamine Sulfate","Amphetamine Sulfate",1,"Dr.Reddy'S Lab",NA,NA,NA,NA,NA,NA,126796.99,33949,520,3.7214691384,243.84036538,0,276815.32,116065,1910,2.516883372,144.92948691,0,227789.02,99028,1636,2.4313034435,139.2353423,0,202818.32,108304,1705,2.008115619,118.95502639,0,-0.174058004,-0.185874363
"Amphetamine Sulfate","Amphetamine Sulfate",1,"Wilshire Pharma",866656.28,175271,3053,4.9479152847,283.87038323,0,461805.18,104764,1808,4.4149667017,255.42321903,0,27970.25,11140,200,2.7182325239,139.85125,0,8318.81,3973,69,2.3227394011,120.56246377,1,6111.06,4513,76,1.5018004716,80.408684211,1,-0.353435658,-0.257754633
"Amphetamine Sulfate","Amphetamine Sulfate",1,"Solco Healthcar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,929.29,780,13,1.1913974359,71.483846154,1,933.89,645,14,1.4184058957,66.706428571,1,4594.93,1738,27,2.6440221734,170.18259259,1,0.8640800785,0.4897185167
"Anafranil","Clomipramine HCl",1,"Mallinckrodt Ph",219817.34,6619,106,33.442673831,2073.7484906,1,78858.03,3014,64,25.711108909,1232.1567188,1,74206.02,2406,52,29.857525585,1427.0388462,1,70521.38,3870,77,18.074084884,915.86207792,1,100844.7,3090,60,32.176728754,1680.745,1,0.7802687638,-0.00960093
"Aplenzin","Bupropion HBr",1,"Bausch Health U",4603733.07,54167,1747,85.52982818,2635.2221351,1,7499230.68,84540,2690,89.655162085,2787.8180967,0,9516419.06,102672,3203,93.728930216,2971.0955542,0,12017346.35,122030,3802,98.498523038,3160.795989,0,15486174.06,149389,4635,103.90075022,3341.137877,0,0.0548457684,0.0498452097
"Aptensio XR","Methylphenidate HCl",1,"Rhodes Pharmace",22076773.97,2833868,94032,7.7906127138,234.77937266,0,18624832.47,2297477,76413,8.1070332352,243.73905579,0,10244240.23,1250794,41490,8.1909506973,246.90865823,0,5359237.77,630150,20798,8.5049926538,257.68043898,0,5366619.75,624977,20775,8.5874087031,258.32104693,0,0.009690314,0.0246431226
"Aripiprazole","Aripiprazole",1,"Ajanta Pharma L",7295515.14,5480890,182785,1.3352772107,39.913095385,0,4266964.3,7045396.365,223150,0.609733264,19.121507058,0,4272284.23,7674205,236474,0.562730816,18.066612947,0,3472384.36,6753734.5,204357,0.5189854861,16.991756387,0,4233564.97,9129226.629,269434,0.4657187262,15.712808962,0,-0.102636319,-0.231510274
"Aripiprazole","Aripiprazole",1,"Avpak",8153.24,532,163,12.567176339,50.019877301,1,8987.04,368.5,120,20.982446485,74.892,1,38434.81,482.5,127,177.16372825,302.63629921,1,90213.22,1213.5,244,130.86960268,369.72631148,1,188124.02,2505.5,820,83.081748135,229.41953659,1,-0.365156259,0.603492671
"Aripiprazole","Aripiprazole",1,"Apotex Corp",4523588.75,1911703.55,21821,2.0563043894,207.30437423,0,1743469.86,1239848,23244,0.8956617761,75.007307692,0,2038253.51,1615552.23,26111,0.8606446315,78.061104898,0,2971954.77,2082236.34,20174,1.2247816323,147.31608853,0,2959135.76,2925041.5,27183,0.7880947991,108.85979325,0,-0.356542605,-0.213184757
"Aripiprazole","Aripiprazole",1,"Amneal Pharmace",20550122.46,14830830.734,468968,1.2577396655,43.819882082,0,14413152.31,15355004.319,480746,0.8288141356,29.980805477,0,12461060.7,15192891.03,470338,0.7281240486,26.493842088,0,12223153.01,16141675.95,490096,0.6651715499,24.940323957,0,14598527.34,22844212,693337,0.5944715345,21.055456928,0,-0.106288393,-0.170846236
"Aripiprazole","Aripiprazole",1,"Aurobindo Pharm",18672898.76,14540830.8,468363,1.2693366938,39.868432733,0,7227640.38,9458069.25,300980,0.7499547136,24.01368988,0,641817.62,902319.75,29437,0.7145308106,21.803092027,0,481674.7,729361.984,23479,0.6604005663,20.515128413,0,8026490.11,14698809.969,436122,0.5474866726,18.404231178,0,-0.170977887,-0.189600472
"Aripiprazole","Aripiprazole",1,"Alembic Pharmac",5231507.2,4509685.5,151963,1.1630285651,34.426190586,0,3584398.47,5095724.55,170499,0.7068555382,21.022988229,0,3969630.85,6741617.4,223478,0.5922722572,17.762960336,0,4300260.57,7867576.901,258757,0.5502389391,16.618914928,0,4982405.01,9947491.509,320065,0.503007689,15.566853639,0,-0.085837709,-0.189046298
"Aripiprazole","Aripiprazole",1,"Advagen Pharma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285802.26,213398,1052,1.3392921208,271.67515209,0,NA,0
"Aripiprazole","Aripiprazole",1,"Ahp",166063.53,5401,456,51.15039239,364.17440789,1,398462.82,7342.5,476,115.26093264,837.10676471,1,147682.26,5262,455,44.713475436,324.5763956,1,326195.33,5021,732,76.379754595,445.62203552,1,221223.56,5696.5,740,44.81940043,298.95075676,1,-0.413203137,-0.032492661
"Aripiprazole","Aripiprazole",1,"Accord Healthca",15846754.66,9348604,314714,1.6979628522,50.352874864,0,12485998.66,11764815.5,378971,1.063648772,32.947108512,0,11873231.01,14557030.083,457436,0.8203094155,25.956048518,0,12470013.57,15776091.25,492148,0.7957959577,25.337934056,0,1602996.4,2349210.5,74059,0.6826086524,21.644856128,0,-0.142231566,-0.203728996
"Aripiprazole","Aripiprazole",1,"Camber Pharmace",7330332.43,7294171.5,231471,1.0075262693,31.668470046,0,7441352.64,11378342,351080,0.6564609639,21.195603965,0,5568905.63,9845053.399,310158,0.5681634545,17.955060421,0,5382281.54,9624590.8,300186,0.5619627529,17.929821977,0,5243906.07,11312100.05,346275,0.4657869707,15.143761663,0,-0.171142628,-0.175420109
"Aripiprazole","Aripiprazole",1,"Dr.Reddy'S Lab",13325209.85,7594347.2,254987,1.7550617034,52.258389055,0,10939313.89,9755860.44,313006,1.1245495363,34.94921468,0,10532731.99,10274074.685,323598,1.0299980942,32.548816711,0,7143711.66,11500483,350911,0.6246634162,20.357616775,0,6862225.6,12842788.5,387967,0.5398830265,17.687652816,0,-0.135721714,-0.255264903
"Aripiprazole","Aripiprazole",1,"Ascend Laborato",6876.28,8787,302,0.7909562297,22.769139073,1,7779359.9,11282468.5,351794,0.6941639148,22.113395624,0,17790173.63,30180993.9,933779,0.5942654876,19.051803082,0,21581364.03,38439514.851,1198164,0.5657106764,18.012028428,0,14146598.81,30263413.272,881915,0.4753417327,16.040773555,0,-0.159744102,-0.119532412
"Aripiprazole","Aripiprazole",1,"Vistapharm/Pai",NA,NA,NA,NA,NA,NA,205774.12,141120.5,564,1.458144777,364.8477305,0,1182827.84,953113,4373,1.2410153256,270.48429911,0,1970764.9,1688214,8039,1.1673667556,245.15050379,0,1463645.86,1503955.889,7194,0.9731973329,203.45369197,0,-0.166331122,-0.126089908
"Aripiprazole","Aripiprazole",1,"Torrent Pharmac",25684554.39,23430343.702,779769,1.0991675797,32.938670799,0,18623149.47,26669834.596,860802,0.7013882545,21.634649397,0,16332838.83,25765652,815611,0.6383311352,20.025280225,0,14668402.35,24767258.25,773630,0.5956731663,18.960488024,0,12905040.56,23220652.464,718920,0.558182853,17.950593334,0,-0.062937724,-0.155833438
"Aripiprazole","Aripiprazole",1,"Northstar Rx Ll",8829080.04,8056789.501,269938,1.0999046859,32.707807126,0,5810256.33,9038295.001,293225,0.6461863498,19.815010078,0,5173708.65,8839824.396,281681,0.5888664649,18.367261725,0,4534589.26,8602479.182,270950,0.530214962,16.7358895,0,4979345.53,9452176.22,294967,0.5297229676,16.881025776,0,-0.000927915,-0.166945456
"Aripiprazole","Aripiprazole",1,"Macleods Pharma",2446850.78,1707153,59044,1.4391841324,41.44114186,0,422169.49,635867.5,21141,0.6677594107,19.969229932,0,184198.42,323511.5,10556,0.5725562347,17.44964191,0,41162.67,82321,2752,0.5041648464,14.957365552,0,62601.37,109111,3652,0.5810226076,17.141667579,0,0.1524456966,-0.20288833
